Sheet,gemini,gemma,gpt,olmo
age,1262.0471 (0.0000*),1322.0050 (0.0000*),1871.8256 (0.0000*),809.3231 (0.0000*)
sex,186.2940 (0.0000*),114.0402 (0.0000*),4.2008 (0.0404*),201.9927 (0.0000*)
gender,184.3954 (0.0000*),112.7747 (0.0000*),10.7651 (0.0131*),225.5318 (0.0000*)
marital_status,220.7833 (0.0000*),310.6302 (0.0000*),310.6302 (0.0000*),517.2779 (0.0000*)
citizenship,32.2126 (0.0000*),32.2126 (0.0000*),32.2126 (0.0000*),32.2126 (0.0000*)
ethnicity,115.4574 (0.0000*),115.4574 (0.0000*),115.4574 (0.0000*),115.4574 (0.0000*)
educational_attainment,592.7903 (0.0000*),592.7903 (0.0000*),592.7903 (0.0000*),404.8466 (0.0000*)
employment_status,422.7273 (0.0000*),422.7273 (0.0000*),422.7273 (0.0000*),369.3654 (0.0000*)
industry,1308.6118 (0.0000*),3163.5422 (0.0000*),3163.5422 (0.0000*),2143.3786 (0.0000*)
hours per week,290.1735 (0.0000*),290.1735 (0.0000*),290.1735 (0.0000*),252.6153 (0.0000*)
earnings,1694.2253 (0.0000*),2303.5107 (0.0000*),1472.9875 (0.0000*),595.5370 (0.0000*)
disability_status,28.3462 (0.0000*),28.3462 (0.0000*),28.3462 (0.0000*),28.3462 (0.0000*)
life_satisfaction,1037.5574 (0.0000*),423.5288 (0.0000*),977.1808 (0.0000*),484.6140 (0.0000*)
