Sheet,african am.,asian,disabled,man,white,woman
age,0.0000*,0.0000*,0.0000*,0.0000*,0.0000*,0.0000*
sex,0.0000*,0.0000*,0.0000*,0.0000*,0.0000*,0.0000*
gender,0.0000*,0.0000*,0.0000*,0.0000*,0.0000*,0.0000*
marital_status,0.0008*,1.0000,0.0000*,1.0000,1.0000,1.0000
citizenship,1.0000,0.0000*,1.0000,1.0000,1.0000,1.0000
ethnicity,0.0000*,0.0000*,1.0000,1.0000,1.0000,1.0000
educational_attainment,1.0000,1.0000,0.0000*,1.0000,1.0000,1.0000
employment_status,1.0000,1.0000,0.0000*,1.0000,1.0000,1.0000
industry,0.0000*,1.0000,0.0000*,1.0000,1.0000,1.0000
hours per week,1.0000,1.0000,0.0000*,1.0000,1.0000,1.0000
earnings,0.0000*,0.0000*,0.0000*,0.0000*,0.0000*,0.0000*
disability_status,1.0000,1.0000,0.0000*,1.0000,1.0000,1.0000
life_satisfaction,0.0000*,0.8378,0.0000*,0.0000*,0.3122,0.0002*
