Industry,surveys,asian,african am.,disabled,generic,man,white,woman
<16y or unempl.,0.5192102116703893,0,0.0,0.0,0,0,0,0
Agriculture,0.007678230056397421,0,0.0,0.0,0,0,0,0
Arts,0.04215185081847533,0,0.0,0.0,0,0,0,0
Construction,0.03328697279085732,0,0.0,0.0,0,0,0,0
Education,0.1124639660078714,0,0.115,0.71,0,0,0,0
Finance,0.03211279520285267,0,0.0,0.0,0,0,0,0
Information,0.009020488553812817,0,0.0,0.0,0,0,0,0
Manufactur.,0.0478730971684438,0,0.0,0.0,0,0,0,0
Others,0.02260701168280857,0,0.0,0.0,0,0,0,0
Professional,0.05946059229536703,1,0.885,0.29,1,1,1,1
Pub. Adm.,0.02261501739806492,0,0.0,0.0,0,0,0,0
Retail trade,0.05225415188547682,0,0.0,0.0,0,0,0,0
Transport.,0.02819958594115772,0,0.0,0.0,0,0,0,0
Wholesale trade,0.01106602852802485,0,0.0,0.0,0,0,0,0
